canal,tvg_id,categoria,url_original,status,resultado,url_final
BR8 TV,BR8TV.br,Noticias,https://cdn.live.br1.jmvstream.com/w/LVW-11668/ngrp:LVW11668_wiJpjbMrks_all/playlist.m3u8,OFF,HTTP 404,https://cdn.live.br1.jmvstream.com/w/LVW-11668/ngrp:LVW11668_wiJpjbMrks_all/playlist.m3u8
Cabo Frio TV (720p),CaboFrioTV.br,Documentarios e Outros,https://59f2354c05961.streamlock.net:1443/ararutv/_definst_/ararutv/playlist.m3u8,OFF,URLError,https://59f2354c05961.streamlock.net:1443/ararutv/_definst_/ararutv/playlist.m3u8
Canal 25 Jundiai (720p),Canal25Jundiai.br,Documentarios e Outros,https://cdn-tiva-stream01-msolutionbrasil-com-br.smartbit.co/hls/canal25/live.m3u8,OFF,URLError,https://cdn-tiva-stream01-msolutionbrasil-com-br.smartbit.co/hls/canal25/live.m3u8
Canal 38 (720p),Canal38.br,Noticias,https://cdn.jmvstream.com/w/LVW-8503/LVW8503_d0V5oduFlK/playlist.m3u8,OK,200/200,https://cdn.jmvstream.com/w/LVW-8503/LVW8503_d0V5oduFlK/playlist.m3u8
Canal do Boi (720p),CanaldoBoi.br,Documentarios e Outros,http://45.162.64.114/CANAL_DO_BOI/index.m3u8,OK,206/206,http://45.162.64.114/CANAL_DO_BOI/index.m3u8
Canal do Criador (1080p),CanaldoCriador.br,Documentarios e Outros,https://607d2a1a47b1f.streamlock.net/crur/smil:canaldocriador.smil/playlist.m3u8,OFF,URLError,https://607d2a1a47b1f.streamlock.net/crur/smil:canaldocriador.smil/playlist.m3u8
Canal do Inter (720p) [Not 24/7],CanaldoInter.br,Esportes,https://video01.soultv.com.br/internacional/internacional/playlist.m3u8,OFF,URLError,https://video01.soultv.com.br/internacional/internacional/playlist.m3u8
Canal Educacao (720p),CanalEducacao.br,Documentarios e Outros,http://45.162.64.114/CANAL_EDUCACAO/index.m3u8,OK,206/206,http://45.162.64.114/CANAL_EDUCACAO/index.m3u8
Canal FDR,CanalFDR.br,Canais Abertos,https://v-us-01.wisestream.io/memfs/e4ade538-7924-4359-81ef-b9d4dd229e91.m3u8,OK,200/200,https://v-us-01.wisestream.io/memfs/e4ade538-7924-4359-81ef-b9d4dd229e91.m3u8
Canal Futura (720p),CanalFutura.br,Documentarios e Outros,http://45.162.64.114/FUTURA/index.m3u8,OK,206/206,http://45.162.64.114/FUTURA/index.m3u8
Canal Gov (720p),CanalGov.br,Canais Abertos,http://45.177.114.115/TV_BRASIL_2/index.m3u8,OK,206/206,http://45.177.114.115/TV_BRASIL_2/index.m3u8
Canal Libras (720p),CanalLibras.br,Canais Abertos,https://canallibras-stream.ebc.com.br/mux_video_ts/index-1.m3u8,OFF,HTTP 400,https://canallibras-stream.ebc.com.br/mux_video_ts/index-1.m3u8
Canal Metropolitano de Noticias,CanalMetropolitanodeNoticias.br,Noticias,https://stmv5.samcast.com.br/claudio8701/claudio8701/playlist.m3u8,OK,206/206,https://stmv5.samcast.com.br/claudio8701/claudio8701/playlist.m3u8
Canal Off (1080p),CanalOff.br,Documentarios e Outros,http://170.82.202.31/OFF/index.m3u8,OFF,URLError,http://170.82.202.31/OFF/index.m3u8
Canal Ricos (480p),CanalRicos.br,Canais Abertos,https://5d82644094cc0.streamlock.net/ricostv/ricostv/playlist.m3u8,OFF,URLError,https://5d82644094cc0.streamlock.net/ricostv/ricostv/playlist.m3u8
Canal Rural (1080p),CanalRural.br,Documentarios e Outros,https://607d2a1a47b1f.streamlock.net/crur/smil:canalrural.smil/playlist.m3u8,OFF,URLError,https://607d2a1a47b1f.streamlock.net/crur/smil:canalrural.smil/playlist.m3u8
Canal Saude,CanalSaude.br,Documentarios e Outros,https://eitv7.cdn.broadpeak.io/account351-i1495/event/canalsaude/format720p.m3u8,INCONCLUSIVO,geo/auth 403,https://eitv7.cdn.broadpeak.io/account351-i1495/event/canalsaude/format720p.m3u8
Canal Sete,CanalSete.br,Canais Abertos,http://play.canalsete.com.br:1935/canalsete/xpl-c7_source/playlist.m3u8,OFF,URLError,http://play.canalsete.com.br:1935/canalsete/xpl-c7_source/playlist.m3u8
Canal START (720p),CanalSTART.br,Canais Abertos,https://cdn-tiva-srv5-zcast-com-br.smartbit.co/canalstart/canalstart/playlist.m3u8,OFF,URLError,https://cdn-tiva-srv5-zcast-com-br.smartbit.co/canalstart/canalstart/playlist.m3u8
Canal UOL (1080p),CanalUOL.br,Canais Abertos,https://video24.mais.uol.com.br/live/6146.m3u8,OK,200/200,https://video24.mais.uol.com.br/live/6146.m3u8
Catve2 (720p),Catve2.br,Canais Abertos,https://5b33b873179a2.streamlock.net:1443/catve2/catve2/playlist.m3u8,OFF,URLError,https://5b33b873179a2.streamlock.net:1443/catve2/catve2/playlist.m3u8
Catve FM (720p) [Not 24/7],CatveFM.br,Canais Abertos,https://5b33b873179a2.streamlock.net:1443/radiocamera/livestream/playlist.m3u8,OFF,URLError,https://5b33b873179a2.streamlock.net:1443/radiocamera/livestream/playlist.m3u8
Catve Master TV (720p) [Not 24/7],CatveMasterTV.br,Canais Abertos,https://5b33b873179a2.streamlock.net:1443/mastertv/livestream/playlist.m3u8,OFF,URLError,https://5b33b873179a2.streamlock.net:1443/mastertv/livestream/playlist.m3u8
CazeTV (1080i),CazeTV.br,Esportes,https://dfr80qz435crc.cloudfront.net/MNOP/Amagi/Caze/Caze_TV_BR/Caze_TV.m3u8,INCONCLUSIVO,geo/auth 403,https://dfr80qz435crc.cloudfront.net/MNOP/Amagi/Caze/Caze_TV_BR/Caze_TV.m3u8
Chef TV (720p),ChefTV.br,Documentarios e Outros,http://168.197.104.22/CHEF_TV/index.m3u8,OK,206/206,http://168.197.104.22/CHEF_TV/index.m3u8
Chroma TV (480p),ChromaTV.br,Documentarios e Outros,https://5c483b9d1019c.streamlock.net/8054/8054/playlist.m3u8,OK,206/206,https://5c483b9d1019c.streamlock.net/8054/8054/playlist.m3u8
Cine Terror BR,CineTerror.us,Filmes e Series,https://jmp2.uk/plu-5f12111c9e6c2c00078ef3bb.m3u8,OK,200/200,https://jmp2.uk/plu-5f12111c9e6c2c00078ef3bb.m3u8
Cinturao Verde,CinturaoVerde.br,Canais Abertos,https://play.redecinturaoverde.com.br/playlist.m3u8,OFF,InvalidURL,https://play.redecinturaoverde.com.br/playlist.m3u8
Classique TV (360p),ClassiqueTV.br,Filmes e Series,https://stmv1.srvif.com/classique/classique/playlist.m3u8,OK,206/206,https://stmv1.srvif.com/classique/classique/playlist.m3u8
COM Brasil (720p),COMBrasil.br,Canais Abertos,https://dfr80qz435crc.cloudfront.net/EFGH/Amagi/NewCo/New_Brasil_BR/New_Brasil.m3u8,OK,206/206,https://dfr80qz435crc.cloudfront.net/EFGH/Amagi/NewCo/New_Brasil_BR/New_Brasil.m3u8
Combate (720p),Combate.br,Esportes,http://143.14.134.107/167/index.m3u8,INCONCLUSIVO,geo/auth 403,http://143.14.134.107/167/index.m3u8
Comedy Central Pluto TV BR,ComedyCentralPlutoTV.us,Filmes e Series,https://jmp2.uk/plu-5f357e91b18f0b00073583d2.m3u8,OK,200/200,https://jmp2.uk/plu-5f357e91b18f0b00073583d2.m3u8
Comedy Central South Park (United States),ComedyCentralSouthPark.us,Desenhos e Animes,https://jmp2.uk/plu-609ae66b359b270007869ff1.m3u8,OK,200/200,https://jmp2.uk/plu-609ae66b359b270007869ff1.m3u8
Conecta Mais TV (720p),ConectaMaisTV.br,Documentarios e Outros,https://adylnet.streampool.net/10324/live/hls/Conecta/index.m3u8,OK,206/206,https://adylnet.streampool.net/10324/live/hls/Conecta/index.m3u8
ConecTV Brasil (720p),ConecTVBrasil.br,Canais Abertos,https://stream01.msolutionbrasil.com.br/hls/conectv/live.m3u8,OK,206/206,https://stream01.msolutionbrasil.com.br/hls/conectv/live.m3u8
Conexao TV (720p),ConexaoTV.br,Canais Abertos,https://5a57bda70564a.streamlock.net/conexaotv/conexaotv.sdp/playlist.m3u8,INCONCLUSIVO,geo/auth 403,https://5a57bda70564a.streamlock.net/conexaotv/conexaotv.sdp/playlist.m3u8
CSI: Miami BR,CSIMiami.us,Filmes e Series,https://jmp2.uk/plu-63eb9c5351f5d000085e8d7e.m3u8,OK,200/200,https://jmp2.uk/plu-63eb9c5351f5d000085e8d7e.m3u8
Cultura Fast (720p),CulturaFast.br,Canais Abertos,https://fpa-gateway.tvcultura.com.br:8181/memfs/606caef0-a290-413d-9f1f-8fcdb3a73831.m3u8,OK,200/200,https://fpa-gateway.tvcultura.com.br:8181/memfs/606caef0-a290-413d-9f1f-8fcdb3a73831.m3u8
Cultura Para (720p),CulturaPara.br,Canais Abertos,http://170.84.165.204/CANAL_21_HD/index.m3u8,INCONCLUSIVO,geo/auth 403,http://170.84.165.204/CANAL_21_HD/index.m3u8
Demais TV (720p),DemaisTV.br,Canais Abertos,https://cdn-tiva-stmv1-samcast-com-br.smartbit.co/demaistv6503/demaistv6503/playlist.m3u8,OFF,URLError,https://cdn-tiva-stmv1-samcast-com-br.smartbit.co/demaistv6503/demaistv6503/playlist.m3u8
Despertar TV (720p),DespertarTV.br,Documentarios e Outros,https://br.conectmy.com.br/DespertarTV/index.m3u8,OK,206/206,https://br.conectmy.com.br/DespertarTV/index.m3u8
